learning rate,batch size,dropout rate,weight decay,training time
0.001,80.0,0.9,0.0,12.003690640907735
0.001,80.0,0.9,0.001,11.757893322966993
0.001,80.0,0.9,0.01,11.603903498034924
0.01,16.0,0.9,0.0,24.887807654216886
0.01,16.0,0.9,0.001,25.473000545985997
0.01,32.0,0.9,0.001,16.01012219162658
0.01,64.0,0.9,0.0,11.914051472209394
0.01,64.0,0.9,0.1,12.06872195797041
0.01,80.0,0.9,0.001,11.814975150860846
0.01,80.0,0.9,0.1,11.739109023008496
