epoch number,batch size,dropout rate,weight decay,training time
5.0,16.0,0.9,0.1,170.50803165510297
10.0,16.0,0.9,0.1,340.53576156590134
15.0,16.0,0.9,0.1,510.15253210114315
1.0,32.0,0.9,0.0,15.968580150976777
5.0,32.0,0.9,0.0,121.77346367109567
10.0,32.0,0.9,0.0,241.43162061972544
15.0,32.0,0.9,0.0,360.7560358531773
1.0,32.0,0.9,0.001,15.942338385153562
5.0,32.0,0.9,0.001,121.7761217020452
10.0,32.0,0.9,0.001,243.12342149810866
15.0,32.0,0.9,0.001,363.1341484240256
1.0,32.0,0.9,0.01,15.95711070485413
5.0,32.0,0.9,0.01,121.88865745160729
10.0,32.0,0.9,0.01,242.88469296088442
15.0,32.0,0.9,0.01,363.15276653086767
1.0,32.0,0.9,0.1,16.13375973002985
5.0,32.0,0.9,0.1,122.06259454507381
10.0,32.0,0.9,0.1,242.65984064899385
15.0,32.0,0.9,0.1,363.2819016119465
1.0,64.0,0.9,0.0,11.876245811581612
5.0,64.0,0.9,0.0,101.82795604784042
10.0,64.0,0.9,0.0,201.21252295468003
15.0,64.0,0.9,0.0,301.25753392791376
1.0,64.0,0.9,0.001,11.855521451216191
5.0,64.0,0.9,0.001,101.05905402684584
