epoch number,learning rate,batch size,weight decay,training time
10.0,0.001,80.0,0.1,197.9867421737872
15.0,0.001,80.0,0.1,296.38834688207135
1.0,0.01,16.0,0.0,24.887807654216886
5.0,0.01,16.0,0.0,169.6378712770529
10.0,0.01,16.0,0.0,337.5846242951229
15.0,0.01,16.0,0.0,505.8654384808615
1.0,0.01,16.0,0.001,25.473000545985997
5.0,0.01,16.0,0.001,171.46758512640372
10.0,0.01,16.0,0.001,340.6649775621481
15.0,0.01,16.0,0.001,509.75825091218576
5.0,0.01,32.0,0.0,121.14763577003032
10.0,0.01,32.0,0.0,241.5752712697722
15.0,0.01,32.0,0.0,361.1455521979369
1.0,0.01,32.0,0.001,16.01012219162658
5.0,0.01,32.0,0.001,121.82576885866001
10.0,0.01,32.0,0.001,242.90079570980743
15.0,0.01,32.0,0.001,362.9673995068297
5.0,0.01,32.0,0.01,121.89908952685073
10.0,0.01,32.0,0.01,242.62175889406353
1.0,0.01,64.0,0.0,11.914051472209394
5.0,0.01,64.0,0.0,101.46688302606344
10.0,0.01,64.0,0.0,200.97825180692598
15.0,0.01,64.0,0.0,300.80426153726876
15.0,0.01,64.0,0.001,301.61515799025074
10.0,0.01,64.0,0.01,201.02736095199361
15.0,0.01,64.0,0.01,301.0065234298818
1.0,0.01,64.0,0.1,12.06872195797041
5.0,0.01,80.0,0.0,100.23124730400741
