training size,epoch number,learning rate,batch size,training time
0.4,15.0,0.01,80.0,199.88567891111597
0.6,5.0,1e-06,16.0,127.30552392406389
0.6,10.0,1e-06,16.0,253.91217179968953
0.6,15.0,1e-06,16.0,381.5371992769651
0.6,1.0,1e-06,32.0,11.375953121110797
0.6,5.0,1e-06,32.0,95.29100635508075
0.6,10.0,1e-06,32.0,188.9009516676888
0.6,15.0,1e-06,32.0,283.21966382069513
0.6,1.0,1e-06,64.0,8.532602078747004
0.6,5.0,1e-06,64.0,81.21478956611827
0.6,10.0,1e-06,64.0,161.63707135105506
0.6,15.0,1e-06,64.0,242.1497717620805
0.6,5.0,1e-06,80.0,81.27967050718144
0.6,10.0,1e-06,80.0,160.34386988682672
0.6,15.0,1e-06,80.0,239.29569007689133
0.6,1.0,1e-05,16.0,17.04952365765348
0.6,5.0,1e-05,16.0,126.18461371259764
0.6,10.0,1e-05,16.0,253.0379141587764
0.6,15.0,1e-05,16.0,379.4885807498358
0.6,1.0,1e-05,32.0,11.153048667125404
0.6,5.0,1e-05,32.0,94.1374322399497
0.6,10.0,1e-05,32.0,188.34493207093328
0.6,15.0,1e-05,32.0,282.9890081239864
0.6,1.0,1e-05,64.0,8.806698246859014
0.6,5.0,1e-05,64.0,81.25966605776921
0.6,10.0,1e-05,64.0,161.66248501604423
0.6,15.0,1e-05,64.0,241.83182373084128
0.6,1.0,1e-05,80.0,8.251178976148367
0.6,5.0,1e-05,80.0,79.706100365147
0.6,10.0,1e-05,80.0,158.94817645195872
0.6,15.0,1e-05,80.0,238.52510420279577
0.6,1.0,0.0001,16.0,18.120843261945993
0.6,5.0,0.0001,16.0,127.18930066470057
0.6,10.0,0.0001,16.0,251.9697514330037
0.6,15.0,0.0001,16.0,378.3246291959658
0.6,1.0,0.0001,32.0,11.514195756986737
0.6,5.0,0.0001,32.0,94.75081572681665
0.6,10.0,0.0001,32.0,187.67044048709795
0.6,15.0,0.0001,32.0,281.35778662003577
0.6,1.0,0.0001,64.0,8.972382694948465
0.6,5.0,0.0001,64.0,81.4462380707264
0.6,10.0,0.0001,64.0,161.79916230775416
0.6,15.0,0.0001,64.0,241.92848543077707
0.6,1.0,0.0001,80.0,8.609766134992242
0.6,5.0,0.0001,80.0,80.33282170817256
0.6,10.0,0.0001,80.0,159.23148962203413
0.6,15.0,0.0001,80.0,238.05438014492393
0.6,1.0,0.001,16.0,17.22536627901718
0.6,5.0,0.001,16.0,125.93197216885164
0.6,10.0,0.001,16.0,251.91927363025025
0.6,15.0,0.001,16.0,377.37448499305174
0.6,1.0,0.001,32.0,11.159862863831222
0.6,5.0,0.001,32.0,94.36586049571633
0.6,10.0,0.001,32.0,188.31469071283937
0.6,15.0,0.001,32.0,282.1297831698321
0.6,5.0,0.001,64.0,81.10440625529736
0.6,10.0,0.001,64.0,161.20516113517806
0.6,15.0,0.001,64.0,241.65327665628865
0.6,1.0,0.001,80.0,8.418700114358217
0.6,5.0,0.001,80.0,79.9855385213159
0.6,10.0,0.001,80.0,158.85643637832254
0.6,15.0,0.001,80.0,237.66852916916832
0.6,1.0,0.01,16.0,17.346694400999695
0.6,10.0,0.01,16.0,252.28241682006046
0.6,15.0,0.01,16.0,377.7794638662599
0.6,1.0,0.01,32.0,11.266068638768047
0.6,5.0,0.01,32.0,93.80426668003201
0.6,10.0,0.01,32.0,187.13686282001436
0.6,15.0,0.01,32.0,280.2295445208438
0.6,5.0,0.01,64.0,87.58597516082227
0.6,10.0,0.01,64.0,169.1620704298839
0.6,15.0,0.01,64.0,257.72464724676684
0.6,5.0,0.01,80.0,88.87193158408627
0.6,10.0,0.01,80.0,176.81237618811429
0.6,15.0,0.01,80.0,263.67156256502494
0.8,1.0,1e-06,16.0,23.84359438996762
0.8,5.0,1e-06,16.0,159.86091281985864
0.8,10.0,1e-06,16.0,319.3148438911885
0.8,15.0,1e-06,16.0,477.8686881070025
0.8,1.0,1e-06,32.0,15.417008346877992
0.8,5.0,1e-06,32.0,115.08721458213404
0.8,10.0,1e-06,32.0,228.67820423096418
0.8,15.0,1e-06,32.0,341.94335691910237
0.8,1.0,1e-06,64.0,11.415211535058916
0.8,5.0,1e-06,64.0,95.29010161478072
0.8,10.0,1e-06,64.0,189.12923780363053
0.8,15.0,1e-06,64.0,283.0135028860532
0.8,1.0,1e-06,80.0,11.094095932785422
0.8,5.0,1e-06,80.0,93.24888801574707
0.8,10.0,1e-06,80.0,186.42001524800435
0.8,15.0,1e-06,80.0,278.99278579093516
0.8,1.0,1e-05,16.0,23.143356003798544
0.8,5.0,1e-05,16.0,156.46504104463384
0.8,10.0,1e-05,16.0,312.00516599882394
0.8,15.0,1e-05,16.0,467.254107655026
0.8,1.0,1e-05,32.0,15.204137641005218
0.8,5.0,1e-05,32.0,113.06089123804122
0.8,10.0,1e-05,32.0,224.63307885732502
0.8,15.0,1e-05,32.0,336.10339324129745
0.8,1.0,1e-05,64.0,11.917616174090654
0.8,5.0,1e-05,64.0,102.67166191106662
0.8,10.0,1e-05,64.0,202.61392121296376
0.8,15.0,1e-05,64.0,303.23561791703105
0.8,1.0,1e-05,80.0,11.91759403469041
0.8,5.0,1e-05,80.0,99.9775435756892
0.8,10.0,1e-05,80.0,198.8773122546263
0.8,15.0,1e-05,80.0,298.3426968380809
0.8,1.0,0.0001,16.0,24.924072018824518
0.8,5.0,0.0001,16.0,170.42639589961618
0.8,10.0,0.0001,16.0,340.0247593577951
0.8,15.0,0.0001,16.0,509.17434783186764
0.8,1.0,0.0001,32.0,16.0495513449423
0.8,5.0,0.0001,32.0,122.32786933099851
0.8,10.0,0.0001,32.0,242.71280390722677
0.8,15.0,0.0001,32.0,363.78926548501477
0.8,1.0,0.0001,64.0,12.266412451397628
0.8,5.0,0.0001,64.0,102.04114614706486
0.8,10.0,0.0001,64.0,202.28065743716434
0.8,15.0,0.0001,64.0,303.50591508997604
0.8,1.0,0.0001,80.0,11.57871370902285
0.8,5.0,0.0001,80.0,99.98927359795198
0.8,10.0,0.0001,80.0,199.3319070842117
0.8,15.0,0.0001,80.0,298.0773370577954
0.8,1.0,0.001,16.0,24.97668456006795
