epoch number,learning rate,dropout rate,weight decay,training time
15.0,1e-05,0.9,0.01,337.3440576437861
1.0,1e-05,0.9,0.1,15.229561924003065
5.0,1e-05,0.9,0.1,113.44152034725994
10.0,1e-05,0.9,0.1,228.96533303242177
15.0,1e-05,0.9,0.1,350.4014929821715
1.0,0.0001,0.9,0.0,16.0495513449423
5.0,0.0001,0.9,0.0,122.32786933099851
10.0,0.0001,0.9,0.0,242.71280390722677
15.0,0.0001,0.9,0.0,363.78926548501477
1.0,0.0001,0.9,0.001,16.084124314133078
5.0,0.0001,0.9,0.001,122.12231735419482
10.0,0.0001,0.9,0.001,243.46379191800952
15.0,0.0001,0.9,0.001,363.995451615192
1.0,0.0001,0.9,0.01,16.01993876695633
5.0,0.0001,0.9,0.01,122.70947291702032
10.0,0.0001,0.9,0.01,245.13967701839283
15.0,0.0001,0.9,0.01,365.91290383506566
1.0,0.0001,0.9,0.1,15.83956035785377
5.0,0.0001,0.9,0.1,122.55655791983008
10.0,0.0001,0.9,0.1,244.27537652058527
15.0,0.0001,0.9,0.1,364.46678429981694
1.0,0.001,0.9,0.0,15.968580150976777
5.0,0.001,0.9,0.0,121.77346367109567
10.0,0.001,0.9,0.0,241.43162061972544
15.0,0.001,0.9,0.0,360.7560358531773
1.0,0.001,0.9,0.001,15.942338385153562
5.0,0.001,0.9,0.001,121.7761217020452
10.0,0.001,0.9,0.001,243.12342149810866
15.0,0.001,0.9,0.001,363.1341484240256
1.0,0.001,0.9,0.01,15.95711070485413
5.0,0.001,0.9,0.01,121.88865745160729
10.0,0.001,0.9,0.01,242.88469296088442
15.0,0.001,0.9,0.01,363.15276653086767
1.0,0.001,0.9,0.1,16.13375973002985
5.0,0.001,0.9,0.1,122.06259454507381
10.0,0.001,0.9,0.1,242.65984064899385
15.0,0.001,0.9,0.1,363.2819016119465
5.0,0.01,0.9,0.0,121.14763577003032
10.0,0.01,0.9,0.0,241.5752712697722
15.0,0.01,0.9,0.0,361.1455521979369
1.0,0.01,0.9,0.001,16.01012219162658
5.0,0.01,0.9,0.001,121.82576885866001
10.0,0.01,0.9,0.001,242.90079570980743
15.0,0.01,0.9,0.001,362.9673995068297
5.0,0.01,0.9,0.01,121.89908952685073
10.0,0.01,0.9,0.01,242.62175889406353
