epoch number,learning rate,batch size,dropout rate,training time
1.0,0.0001,64.0,0.9,12.266412451397628
5.0,0.0001,64.0,0.9,102.04114614706486
10.0,0.0001,64.0,0.9,202.28065743716434
15.0,0.0001,64.0,0.9,303.50591508997604
1.0,0.0001,80.0,0.9,11.57871370902285
5.0,0.0001,80.0,0.9,99.98927359795198
10.0,0.0001,80.0,0.9,199.3319070842117
15.0,0.0001,80.0,0.9,298.0773370577954
1.0,0.001,16.0,0.9,24.97668456006795
5.0,0.001,16.0,0.9,170.07359306514263
10.0,0.001,16.0,0.9,339.51895883725956
15.0,0.001,16.0,0.9,508.95636075921357
1.0,0.001,32.0,0.9,15.968580150976777
5.0,0.001,32.0,0.9,121.77346367109567
10.0,0.001,32.0,0.9,241.43162061972544
15.0,0.001,32.0,0.9,360.7560358531773
1.0,0.001,64.0,0.9,11.876245811581612
